HLCL-0|keep going if you are scared keep going
HLCL-2652|what a relief it is to find people you can share it all with and be reassured that you're doing just fine
HLCL-2653|if you're unconvinced that friends are worth it consider the data here is where my friends would say of course
HLCL-2654|studies show that when seniors interact on a regular basis with friends they have fewer problems with memory and depression greater physical mobility and are more likely to get regular checkups
HLCL-2655|now that I'm officially in the senior category I'm holding on even more tightly to my friends they're literally keeping me strong
HLCL-2656|making friends in adulthood can be hard for anybody
HLCL-2657|for billing me there are complications
HLCL-2658|do we let people into our Lives who we don't know very well
HLCL-2659|what if they just want to get to know us in order to have a good story to tell
HLCL-2660|we've been burned by people it's not fun to feel used
HLCL-2661|then there's the risk that people face when they become our friends
HLCL-2662|if you go out to dinner with me your picture might be in the paper
HLCL-2663|you might be hounded by trolls online you might lose friends who detest me because of my politics
HLCL-2664|you might even need to hire a lawyer I almost want to offer a disclaimer to new friends these side effects may occur
HLCL-2665|it's for reasons of well-known public figures don't really make new friends they close the circle it's understandable
HLCL-2666|and yet I try to keep making new friends just in the past year I've become close to a few new people including a mystery writer I've been reading
HLCL-2667|4 years who is now my pen pal for me it's worth the risk
HLCL-2668|I get so much for my friendships I learned so much I laughed so much and it feels really good to build my community to feel connected to an ever-larger web of people from different backgrounds and different chapters of my life
HLCL-2669|I don't want to spend time just with politicians
HLCL-2670|who in the world wants that I spent so much of my life in the public eye keeping a tight hold on what I say and how I react to things that it is such a relief to have friends with whom I can be vulnerable and unedited I don't just enjoy that I need it it keeps me sane
HLCL-2671|it comes down to this for me I don't want to live
HLCL-2672|live a big expensive one I think of the poet Mary Oliver has question about what each of us plans to do with our one wild precious life
HLCL-2673|to me that answer includes staying open to new friends carrying their stories and sharing mine intern
HLCL-2674|there's a special group of men over the years I want to mention other first ladies women senators and secretaries of State
HLCL-2675|I wouldn't say we're Intimates but we understand one another in a way few others do
HLCL-2676|we know what it's like to see our husbands attacked and our marriage is question relentlessly and have to explain that to our children
HLCL-2677|we know what it's like to be outnumbered a vastly male-dominated field and just a dignified and cheerful despite being patronized or talked over on a daily basis
HLCL-2678|it doesn't matter what political party we belong to we're connected in a deeper way
HLCL-2679|it reminds me of what Sandra Day O'Connor who for a long time was the only woman on the Supreme Court said when Ruth Bader Ginsburg joined her there
HLCL-2680|Justice Ginsburg came to the court we were nine justices it wasn't 7 and then the women we became 9 release to me
HLCL-2681|the women who have walked the path as I've walked have been a relief to me to
HLCL-2682|and I hope I've been the same to them I don't believe any of us gets through life alone finding meaning and happiness takes a village my friends have been my Village I wouldn't have it any other way
HLCL-2683|to console does not mean to take away the pain but rather to be there and say
HLCL-2684|You are not alone I am with you
HLCL-2685|together we can carry the burden don't be afraid I am here
HLCL-2686|what is consolation we all need to give it as well as to receive it
HLCL-2687|Henri nouwen turning mourning into a movement
HLCL-2688|they radiated strength they were proud women who had Cena W cried a lot and prayed a lot
HLCL-2689|I walked around the room introducing myself one-by-one to the Dozen mothers who had come from all over the country
