LAFB-1||party of Ku Klux Klan Riders Gallop to our home in Omaha Nebraska
LAFB-2210||sometimes we're calling all of this I don't know to tell the truth how I am alive to tell it today
LAFB-2211||they say God takes care of Fools and babies I so often thought that allow was watching over me
LAFB-2212||through all of this time of my life I really was dead mentally dead I just didn't
LAFB-2213||oh that I was anyway to kill time Sammy and I sniffed some of his cocaine until the time came to pick up Jean part to go down and hear Lady Day
LAFB-2214||Sammy's having told me about West Indian Archie looking for me didn't mean a thing
LAFB-2216||read I want my money of 3220 is a funny kind of gun it's bigger than a 32
LAFB-2217||but it's not as big as a 38
LAFB-2218||I face down some dangerous Negroes but no one who wasn't ready to die messed with West Indian Archie
LAFB-2219||I couldn't believe it he truly scared me
LAFB-2220||I was so incredulous at what was happening that it was hard to form words with my brain and my mouth
LAFB-2221||man what's the beef West Indian Archie said he thought I was trying something when I told him I did
LAFB-2222||but he paid me the $300 until he could double-check his written betting slips and as he thought I hadn't combinator the number I've claimed but another
LAFB-2223||Ben you're crazy I talk fast I've seen out of the corner of my eye Sammy's hand easing under his pillow where he kept his Army 45
LAFB-2224||Archie smart a man is you supposed to be you pay somebody who hadn't yet
LAFB-2225||the 3220 moved at the Sammy froze
LAFB-2226||West Indian Archie told him I have to shoot you through the air
LAFB-2227||and then you look back at me you don't have my money
LAFB-2228||I must have shaking my head I'll give you until 12 tomorrow
LAFB-2229||Eddie put his hand behind him and pulled open the door he backed out and slammed it
LAFB-2230||it was a classic Hustler code impasse
LAFB-2231||the money wasn't the problem I still had about $200 of it
LAFB-2232||had money bendy issue Sammy could have made up the difference
LAFB-2233||if it wasn't in his pocket his woman could quickly have raised
LAFB-2234||West Indian Archie himself for that matter would have loan me $300 if I ever asked him as many thousands of dollars of mine has he gotten 10% of
LAFB-2235||Once In fact when he'd heard I was broke
LAFB-2236||he look me up and handed me some money and grunted stick this in your bucket
LAFB-2237||the issue was the position which his action had put us both into
LAFB-2238||for a hustler in our sidewalk jungle world face and honor were important
LAFB-2239||no Hustler could have it known that he been hiked meaning outsmarted or made a fool of and worse
LAFB-2240||a hustler could never afford to have it demonstrated that he could be bluffed that he could be frightened by a threat that he lacked nerve
LAFB-2241||West Indian Archie knew that some young Hustlers Rose in stature in our world when they somehow Hoodwinked older Hustlers then put it on the wire for everyone to hear
LAFB-2242||he believed I was trying that
LAFB-2243||intern I knew he would be protecting his stature by broadcasting all over the wire his threat to me
LAFB-2244||because of this cold in my time and Harlem I'd personally known a dozen Hustlers who threatened left
LAFB-2245||disgraced once the wire had it any retreat by either of us was Unthinkable the wire would be awaiting the report of The Showdown
LAFB-2246||I'd also known of at least another dozen showdowns and which one took the Dead on Arrival ride to the morgue and the other went to prison for manslaughter or the electric chair for murder
LAFB-2247||Sammy let me hold his 32 my guns were at my
LAFB-2248||I put the 32 in my pocket with my hand on it and walked out
LAFB-2249||I couldn't stay out of sight I had to show up at all of my usual haunts
LAFB-2250||I was glad that Reginald was out of town he might have tried protecting me and I didn't want him shot in the head by West Indian Archie
LAFB-2251||I stood a while on the corner with my mind confused the muddled thinking that's characteristic of the attic
LAFB-2252||was West Indian Archie I began to wonder bluffing a hype on me
LAFB-2253||to make fun of me some old Hustlers did love to Hype younger ones
LAFB-2254||I knew he wouldn't do it as somewhat just to pick up $300
LAFB-2255||but everyone was so slick
LAFB-2256||in this Harlem jungle people would hype their brothers
LAFB-2257||numbers Runners often had hyped addicts who hit hit who were so drug that when challenged they really couldn't be sure if they had played a certain number
LAFB-2258||I began to wonder where the West Indian Archie might not be right had I really got my combination confused
LAFB-2259||I certainly knew the two numbers I played
LAFB-2260||I knew I told him to combinate only one of them
LAFB-2261||had I gotten mixed up about which number have you ever been so sure you did something that you never would have thought of it again unless it was brought up again
LAFB-2262||then you start trying to mentally confirm and you're only about half sure
LAFB-2263||it was just about time for me to go and pick up Jeanne parks to go downtown to see Billy at the Onyx Club
LAFB-2264||so much with swirling in my head I thought about telephoning her and calling it off making some excuse
LAFB-2265||but I knew that running now was the worst thing I could do
LAFB-2266||so I went on and picked up Jean at her place we took a taxi down to 52nd Street
LAFB-2267||Billie Holiday in those big photo blow-ups of her we're under the lights outside
LAFB-2268||inside the tables were jammed against the wall tables about big enough to get two drinks and for elbows on the Onyx was one of those very little places
