BKOB-0||to Michelle my love and life partner
BKOB-4275||the whole episode did nothing to reverse the Public's growing impression that the GOP and by extension their nominee for president couldn't be trusted to responsibly handle the crisis
BKOB-4276||meanwhile the campaign decisions the clock to push for months earlier we're paying off
BKOB-4277||are army of organizers and volunteers fanned out across the country registry hundreds of thousands of new voters and launching unprecedented operations and states that allowed early vote
BKOB-4278||are online donations continue to flow allowing us to play and whatever media markets we chose
BKOB-4279||when the month ahead of the election the McCain campaign announced it was halting its efforts in Michigan historically a key Battleground state to concentrate its resources
BKOB-4280||Papa's almost offended when he said shaking his head
BKOB-4281||they might as well wave the White Flag instead of focusing energy on Michigan the McCain campaign turn their attention to a man who'd become an unlikely cult figure Joe Walter Bakr
BKOB-4282||I encountered were still biker a few weeks earlier cuz I did some old-fashioned door-knocking in Toledo Ohio
BKOB-4283||is the kind of campaigning I enjoyed most surprising people as they raped leaves or worked on their cars in the driveway watching Kids Zoom up on their bikes to see what the commotion was about
BKOB-4284||that day I was standing on the corner signing autographs and talking with a group of people
BKOB-4285||women with shaved heads would love to be in his late 30s introduced himself as Joe and asked about my pack play
BKOB-4286||the plumbery said he was worried that liberals like me would make it harder for him to succeed as a small business owner
BKOB-4287||with the Press pool cameras rolling explained my plan
BKOB-4288||would raise taxes on the wealthiest 2 percent of Americans in the by investing those revenues and things like education and infrastructure the economy and his business would be more likely to prosper
BKOB-4289||I told him that I believed that this sort of redistribution of income
BKOB-4290||when you spread the wealth around where my words at always been important in opening up opportunities for more people
BKOB-4291||Joe with affable but I'm convinced that we agree to disagree shaking hands before I left
BKOB-4292||in the van headed back to our hotel Gibbs like a great campaign communications director had an unerring knows for how a few seemingly innocuous words could trigger a political silliness told me my comment about spreading the wealth was problematic
BKOB-4293||what are you talkin about praise doesn't pull well
BKOB-4294||people associated with Communism and ship I laughed it off saying that the whole point of rolling back the Bush tax cuts what the redistribute income from people like me to folks like
BKOB-4295||kids look at me like parent whose child keeps on making the same mistake over and over again
BKOB-4296||turn off as soon as the footage of me at work laubacher instantly dubbed Joe the plumber surface
BKOB-4297||McCain started hammering on it during our debates
BKOB-4298||his campaign went all-in adjusting the salt of the earth guy in Ohio at unmask my secret socialist income redistribution agenda treating him like a Oracle of Middle America
BKOB-4299||Broadcast News anchors for something interviewing Joe
BKOB-4300||the plumber TV spots and McCain broad go with him to a few campaign rallies
BKOB-4301||drum self-esteem by turns amused baffled and occasionally put out by his Newfound Fame
BKOB-4302||but when all is said and done most voters interview Joe is not much more than a distraction from the serious business of electing the next president
BKOB-4303||most voters but not all for those who got their news from Sean Hannity and Rush Limbaugh Joe the play
BKOB-4304||neatly into some larger narrative involving Breath Right
BKOB-4305||mileage fealty to radical Community organizer Saul Alinsky my friendship with my neighbor billares who'd once been a leader in the militant group The Weather Underground and My Shadow a Muslim heritage
BKOB-4306||these voters is no longer just the left-of-center Democrat who plans to broaden the social safety net and end the Warren Rock
BKOB-4307||how something more Insidious someone to be feared
BKOB-4308||I'm going to be stuck to deliver this urgent patriotic message to the American people
BKOB-4309||increasingly looked for their most Fearless Champion Sarah Palin
BKOB-4310||since August Palin head tank during a number of high-profile media interviews becoming a punchline on Saturday Night Live another late night comedy show
BKOB-4311||are power layoffs where she spent the first week of October drawing big crowds and enthusiastically gassing them up with nativist by
BKOB-4312||from the stage she accused me of being around with terrorists to Target their own country
BKOB-4313||he suggested that I was quote about a man who sees America the way you and I see America
BKOB-4314||people turned out for rallies wearing t-shirts bearing slogans like Halen's pitbulls and no communist
BKOB-4315||the media reported shouts of terrorists and kill him and Off With His Head coming from her audiences
BKOB-4316||true Palin it seemed as if the dark spirits that has long been lurking at the edges the modern Republican Party
BKOB-4317||xenophobia anti-intellectualism paranoid conspiracy theories and antipathy to black and brown folks
BKOB-4318||finding their way to centre-stage it was a testament to John McCain's character
BKOB-4319||is fundamental decency that anytime a supporter approached him stealing Palin Spell rhetoric he politely pushed back
BKOB-4320||when a man at a Minnesota rally announced end of microphone that he was afraid of having me as a present
